Unnamed: 0,Tweet,Date,Username,Hashtags,Category
238,"Swachh Survekshan 2020 : Public Toilet, Dindoli sanitation ward, SEZ, SMC : @MoHUA_India @SwachhBharatGov, @swachhsurat @sbmugujarat #swachhsurvekshan2020surat",2020-01-20 14:37:34+00:00,DrSanjayDas2,#swachhsurvekshan2020surat,Sanitation
239,"Most sanitation subsidies don’t reach those who need them most. The new GIZ publication titled “Toilets on Discount!” explains how to design smart household toilet subsidies, based on GIZ’s experience in Kenya and Burkina Faso #subsidies library: https://bit.ly/38gmVyG",2020-01-20 12:47:45+00:00,susana_org,#subsidies,Sanitation
240,Tackling the #sanitation challenge. Much thanks to @SHadamufnse Hon. Minister for decorating me with #CleanNigeria use a toilet lapel pin ,2020-01-20 12:22:29+00:00,KGoyol,#sanitation #CleanNigeria,Sanitation
241,"@sfhRwanda Sanitation is the effective use of tools and actions that keep our environment healthy. These include latrines or toilets to manage waste, food preparation, washing stations, effective drainage . Hygiene is a set of personal practices that contribute to good health.",2020-01-20 08:57:20+00:00,BobNtagozera,,Sanitation
242,Smart toilets to predict diabetes and other health indicators? Check out a16z Operating Partner Frank Chen's talk on imagining the future #sanitation #healthtech #toilets ,2020-01-20 08:51:34+00:00,AndyNarracott,#sanitation #healthtech #toilets,Sanitation
243,Share of India's population with access to household toilet. 2015: 42.8% 2016: 50.6% 2017: 64.2% 2018: 82.6% (India Ministry of Drinking Water and Sanitation) #News #Economy #Politics,2020-01-20 08:21:14+00:00,TheEconomian,#News #Economy #Politics,Sanitation
244,"Motto is ""clean INDIA"" n objective of Swachh Bharat Mission is to end open defecation forever in all villages and Rural & Urban Sanitation,House hold Sanitation n toilet coverage n clean cities by proper waste management n recycling #SwachhSurvekshan2020 #AbMereSheherKiBaariHai",2020-01-20 06:04:50+00:00,d_deepak_,#SwachhSurvekshan2020 #AbMereSheherKiBaariHai,Sanitation
245,The future is now. Get ready for #GalaxyZFold2 – the phone that is designed to change the shape of the future. Which feature are you most excited about? Register now: https://bit.ly/2YQHu2b #Samsung,2020-09-01 15:45:00+00:00,SamsungIndia,#GalaxyZFold2 #Samsung,Sanitation
246,@RailMinIndia toilets of coach no S4 &amp; S5 VERY BAD CONDITIONS OF 12876 NELANCHAL EXPRESS. KINDLY SEND SANITATION TEAM FOR CLEANING.,2020-01-20 05:47:30+00:00,arunbobbyswayam,,Sanitation
247,"@AirportUdaipur the Female washrooms need toilet paper, soap and other basic things one needs for sanitation.",2020-01-20 05:43:44+00:00,choinoboi,,Sanitation
248,"@RailwaySeva toilets are at bad conditions of S4 &amp; S5,No water in Train no 12876 Neelanchal Express.kindly send sanitation team PNR NO 2205110921",2020-01-20 05:40:30+00:00,arunbobbyswayam,,Sanitation
249,Share of India's population with access to household toilet. 2015: 42.8% 2016: 50.6% 2017: 64.2% 2018: 82.6% (India Ministry of Drinking Water and Sanitation) spectatorindex The Spectator Index https://twitter.com/spectatorindex/status/1219061982504128512,2020-01-20 03:07:20+00:00,BlogSlovenija,,Sanitation
250,Share of India's population with access to household toilet. 2015: 42.8% 2016: 50.6% 2017: 64.2% 2018: 82.6% (India Ministry of Drinking Water and Sanitation) @narendramodi @swachhbharat,2020-01-20 02:14:14+00:00,DevLadpura,,Sanitation
251,Share of India's population with access to household toilet. 2015: 42.8% 2016: 50.6% 2017: 64.2% 2018: 82.6% (India Ministry of Drinking Water and Sanitation),2020-01-20 01:16:41+00:00,oo_ash12,,Sanitation
252,Share of India's population with access to household toilet. 2015: 42.8% 2016: 50.6% 2017: 64.2% 2018: 82.6% (India Ministry of Drinking Water and Sanitation),2020-01-20 01:09:04+00:00,SarcasmWing,,Sanitation
